Taxon	Gene	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo
Dbia	DB10_00008116	0.1548	0.5289	0.1071	0.5000	0.282	0.435	0.640	40.24	0.789	0.586	683	721	-0.424411	0.119279
Dsuz	DS10_00002650	0.2224	0.4737	0.1406	0.4488	0.273	0.325	0.570	45.72	0.707	0.556	686	723	-0.427663	0.118949
Dmel	FBpp0072173	0.1957	0.4866	0.1381	0.4731	0.268	0.351	0.589	45.22	0.732	0.566	698	735	-0.408027	0.114286
Dsuz	DS10_00001557	0.2069	0.4877	0.1601	0.4006	0.267	0.320	0.557	46.66	0.703	0.570	474	500	-0.411000	0.124000
Dtak	DT10_00010962	0.1736	0.5186	0.1329	0.4486	0.279	0.414	0.622	40.92	0.753	0.587	571	599	-0.412855	0.108514
Dmel	FBpp0305041	0.1914	0.4689	0.1784	0.4092	0.244	0.325	0.558	46.32	0.698	0.580	484	509	-0.319057	0.119843
Dbia	DB10_00000673	0.1302	0.5562	0.1048	0.4596	0.241	0.440	0.635	39.63	0.808	0.610	595	625	-0.294720	0.105600
Dtak	DT10_00007390	0.1622	0.4459	0.2105	0.4800	0.240	0.355	0.593	39.37	0.704	0.527	81	88	0.453409	0.159091
Dbia	DB10_00009109	0.0959	0.6164	0.1186	0.4151	0.271	0.550	0.716	42.18	0.827	0.564	81	88	0.587500	0.159091
Dsuz	DS10_00009054	0.1233	0.5753	0.1333	0.4231	0.257	0.507	0.691	40.46	0.790	0.549	81	88	0.690909	0.159091
Dmel	FBpp0082809	0.1549	0.4930	0.2295	0.3922	0.234	0.368	0.600	39.20	0.688	0.519	80	88	0.662500	0.136364
Dbia	DB10_00002787	0.1867	0.3333	0.2162	0.4648	0.211	0.176	0.455	43.83	0.659	0.585	176	184	0.001631	0.086957
Dsuz	DS10_00008464	0.2000	0.2333	0.2797	0.4783	0.183	0.134	0.421	49.96	0.593	0.559	140	146	0.107534	0.075342
Dtak	DT10_00004016	0.2208	0.3117	0.2759	0.4058	0.219	0.161	0.444	46.24	0.584	0.550	178	185	0.091892	0.091892
Dmel	FBpp0111360	0.2157	0.3137	0.2465	0.4412	0.211	0.150	0.438	48.40	0.614	0.560	176	185	0.084324	0.097297
Dbia	DB10_00004194	0.2109	0.4582	0.1697	0.4049	0.247	0.337	0.570	48.14	0.685	0.576	330	340	-0.192353	0.055882
Dsuz	DS10_00009850	0.2709	0.3890	0.2151	0.3734	0.241	0.229	0.501	54.63	0.601	0.543	421	433	-0.170208	0.053118
Dtak	DT10_00008295	0.2246	0.4457	0.1397	0.4372	0.244	0.345	0.574	46.93	0.698	0.577	331	340	-0.166765	0.055882
Dmel	FBpp0081886	0.2764	0.3636	0.2153	0.3831	0.239	0.234	0.500	53.91	0.591	0.546	330	340	-0.143235	0.055882
Dmel	FBpp0081681	0.2815	0.4238	0.2075	0.3960	0.250	0.245	0.518	51.82	0.619	0.514	367	381	-0.165092	0.097113
Dbia	DB10_00001255	0.2640	0.4356	0.1905	0.4303	0.274	0.266	0.535	52.08	0.645	0.516	372	384	-0.093229	0.096354
Dsuz	DS10_00011686	0.2796	0.4243	0.1955	0.4113	0.245	0.275	0.541	53.49	0.628	0.509	368	379	-0.108180	0.084433
Dtak	DT10_00007759	0.2559	0.4545	0.1741	0.4314	0.256	0.316	0.568	52.62	0.666	0.527	368	382	-0.302094	0.094241
Dmel	FBpp0085098	0.1371	0.4274	0.1441	0.4779	0.202	0.306	0.539	49.96	0.759	0.624	141	147	-0.208163	0.088435
Dbia	DB10_00006042	0.1311	0.3607	0.1200	0.5798	0.199	0.267	0.514	44.04	0.785	0.637	144	148	-0.216216	0.081081
Dsuz	DS10_00010869	0.1550	0.3721	0.1301	0.5593	0.216	0.278	0.527	51.38	0.760	0.626	150	155	-0.304516	0.083871
Dtak	DT10_00003803	0.1984	0.3095	0.1639	0.5299	0.211	0.178	0.452	53.92	0.692	0.600	146	150	-0.266667	0.086667
Dmel	FBpp0087580	0.1919	0.4949	0.1122	0.5055	0.299	0.387	0.616	46.55	0.760	0.588	125	132	-0.679545	0.098485
Dbia	DB10_00007797	0.1429	0.5714	0.1031	0.5055	0.366	0.491	0.683	35.69	0.810	0.609	126	132	-0.740909	0.098485
Dsuz	DS10_00000640	0.1546	0.5567	0.1546	0.4556	0.341	0.464	0.664	38.41	0.760	0.593	125	132	-0.696970	0.098485
Dtak	DT10_00003652	0.2041	0.5204	0.1146	0.4831	0.335	0.426	0.640	38.06	0.752	0.591	125	132	-0.718182	0.098485
Dbia	DB10_00001847	0.2428	0.4188	0.2014	0.4000	0.238	0.224	0.502	50.97	0.641	0.552	1863	1920	-0.546563	0.073438
Dtak	DT10_00006228	0.2565	0.4176	0.1987	0.3918	0.252	0.210	0.494	50.73	0.633	0.547	1598	1653	-0.546400	0.068966
Dsuz	DS10_00009538	0.2182	0.4300	0.2046	0.4062	0.252	0.270	0.528	47.64	0.658	0.568	1136	1176	-0.652211	0.054422
Dmel	FBpp0082081	0.2694	0.3844	0.2311	0.3738	0.256	0.172	0.465	53.00	0.595	0.538	1128	1169	-0.620873	0.054748
Dsuz	DS10_00007042	0.1466	0.5113	0.1220	0.5018	0.245	0.432	0.640	44.39	0.788	0.596	353	368	-0.641304	0.065217
Dbia	DB10_00006418	0.1868	0.4945	0.1434	0.4725	0.268	0.406	0.626	46.32	0.742	0.574	356	376	-0.669681	0.066489
Dtak	DT10_00001038	0.1444	0.4926	0.0860	0.5581	0.260	0.482	0.672	39.90	0.817	0.621	345	360	-0.684722	0.066667
Dmel	FBpp0086776	0.2171	0.4612	0.1498	0.4760	0.242	0.319	0.572	47.12	0.713	0.556	334	359	-0.720056	0.069638
Dbia	DB10_00006806	0.1909	0.4658	0.1369	0.4508	0.243	0.340	0.572	45.74	0.729	0.577	1798	1871	-0.106146	0.065740
Dsuz	DS10_00001335	0.2241	0.4182	0.1678	0.4379	0.227	0.271	0.529	48.85	0.677	0.556	1689	1762	-0.041090	0.068672
Dtak	DT10_00000722	0.2134	0.4308	0.1424	0.4590	0.224	0.282	0.534	46.97	0.706	0.570	1754	1827	-0.091516	0.066229
Dmel	FBpp0078709	0.2396	0.3862	0.1922	0.4317	0.225	0.219	0.494	50.22	0.644	0.543	1561	1619	-0.007350	0.067943
Dtak	DT10_00001490	0.2583	0.5018	0.1466	0.2898	0.277	0.388	0.589	37.39	0.655	0.610	316	323	-0.177399	0.086687
Dbia	DB10_00009472	0.1937	0.6021	0.0784	0.3012	0.356	0.485	0.652	35.22	0.764	0.665	322	327	-0.165138	0.085627
Dsuz	DS10_00002803	0.3108	0.4595	0.1336	0.2840	0.298	0.314	0.538	39.86	0.618	0.615	338	344	-0.316279	0.081395
Dmel	FBpp0071413	0.3079	0.4702	0.1250	0.2669	0.311	0.324	0.541	38.40	0.623	0.626	342	349	-0.214327	0.083095
Dtak	DT10_00004008	0.2219	0.4323	0.1699	0.3789	0.223	0.200	0.469	51.98	0.665	0.532	388	412	0.328398	0.094660
Dbia	DB10_00002782	0.1351	0.5144	0.1036	0.4574	0.281	0.384	0.592	43.09	0.796	0.582	387	412	0.273786	0.097087
Dsuz	DS10_00008468	0.2353	0.4087	0.1713	0.3937	0.239	0.183	0.459	50.69	0.650	0.532	357	380	0.297368	0.094737
Dmel	FBpp0289512	0.2074	0.4403	0.1596	0.4022	0.266	0.234	0.495	48.98	0.686	0.541	388	412	0.292961	0.094660
Dbia	DB10_00002110	0.1031	0.5682	0.0621	0.5503	0.322	0.588	0.737	32.54	0.867	0.602	437	448	-0.239286	0.098214
Dsuz	DS10_00004513	0.1397	0.5307	0.1190	0.5016	0.294	0.488	0.674	37.99	0.795	0.568	438	448	-0.298661	0.100446
Dtak	DT10_00009032	0.1377	0.5262	0.1287	0.4845	0.292	0.465	0.658	37.31	0.787	0.577	441	450	-0.268222	0.100000
Dmel	FBpp0078950	0.1345	0.5042	0.1386	0.5062	0.291	0.444	0.645	39.73	0.783	0.570	437	447	-0.273825	0.100671
Dbia	DB10_00006082	0.1636	0.5466	0.1098	0.4790	0.297	0.495	0.681	37.61	0.787	0.590	639	652	-0.531748	0.073620
Dsuz	DS10_00008048	0.2227	0.5081	0.1306	0.4487	0.281	0.417	0.633	42.19	0.728	0.564	577	590	-0.629322	0.077966
Dtak	DT10_00002232	0.2872	0.4339	0.1406	0.4424	0.268	0.292	0.552	48.07	0.668	0.541	636	651	-0.507220	0.075269
Dmel	FBpp0085060	0.2389	0.4588	0.1988	0.4107	0.263	0.314	0.566	47.69	0.660	0.538	632	649	-0.545300	0.072419
Dbia	DB10_00007192	0.0892	0.7015	0.0487	0.4377	0.340	0.594	0.739	30.80	0.891	0.640	402	410	-0.940244	0.109756
Dsuz	DS10_00009868	0.1138	0.6769	0.0714	0.4141	0.330	0.538	0.704	34.97	0.853	0.618	402	410	-0.973171	0.109756
Dtak	DT10_00006491	0.1208	0.6616	0.0737	0.4205	0.305	0.513	0.687	35.85	0.846	0.616	409	418	-0.973445	0.107656
Dmel	FBpp0081139	0.1758	0.5788	0.1200	0.4014	0.297	0.419	0.628	39.50	0.766	0.586	401	410	-0.966341	0.107317
Dbia	DB10_00002780	0.2342	0.4494	0.1771	0.4756	0.291	0.307	0.567	46.04	0.687	0.555	217	226	-0.848673	0.044248
Dsuz	DS10_00008470	0.2930	0.3949	0.2171	0.4329	0.281	0.231	0.521	50.62	0.613	0.527	217	226	-0.871681	0.044248
Dtak	DT10_00004007	0.3038	0.4114	0.1724	0.4540	0.298	0.268	0.544	51.26	0.641	0.537	217	226	-0.860619	0.044248
Dmel	FBpp0074964	0.2453	0.4528	0.1667	0.4724	0.308	0.314	0.571	51.69	0.687	0.553	217	226	-0.846903	0.044248
Dbia	DB10_00008474	0.1628	0.5216	0.1488	0.4315	0.274	0.391	0.611	45.40	0.748	0.575	468	485	-0.368660	0.070103
Dsuz	DS10_00004909	0.2165	0.4811	0.1619	0.4039	0.252	0.356	0.587	48.05	0.692	0.562	351	363	-0.533333	0.052342
Dtak	DT10_00009954	0.1385	0.5034	0.1069	0.4799	0.253	0.406	0.614	39.96	0.795	0.643	352	361	-0.534349	0.038781
Dmel	FBpp0074116	0.2143	0.4714	0.2101	0.3836	0.240	0.256	0.525	49.30	0.660	0.518	335	351	-0.274074	0.059829
Dbia	DB10_00002710	0.1479	0.4472	0.1333	0.5233	0.199	0.305	0.550	45.37	0.771	0.597	340	355	-0.360845	0.073239
Dsuz	DS10_00010318	0.2011	0.3836	0.2174	0.4435	0.194	0.207	0.482	51.35	0.656	0.561	454	472	-0.258898	0.067797
Dtak	DT10_00008481	0.1789	0.3930	0.1752	0.5076	0.201	0.264	0.523	46.98	0.712	0.591	344	357	-0.389356	0.070028
Dmel	FBpp0075904	0.2772	0.2912	0.2593	0.4247	0.193	0.102	0.415	56.96	0.564	0.519	342	355	-0.362817	0.087324
Dbia	DB10_00001653	0.1736	0.5331	0.0959	0.5250	0.315	0.454	0.660	39.05	0.788	0.550	297	311	-0.226045	0.099678
Dsuz	DS10_00011579	0.1983	0.5000	0.1142	0.5150	0.289	0.411	0.633	40.33	0.754	0.539	297	311	-0.226045	0.099678
Dtak	DT10_00007940	0.1074	0.5909	0.0818	0.5473	0.322	0.552	0.721	32.21	0.852	0.571	297	311	-0.226688	0.099678
Dmel	FBpp0081491	0.2541	0.4180	0.1712	0.4752	0.264	0.298	0.560	47.45	0.664	0.504	298	311	-0.204502	0.099678
Dsuz	DS10_00007045	0.1436	0.6464	0.0402	0.4096	0.290	0.535	0.697	35.19	0.849	0.628	218	222	-0.809910	0.054054
Dbia	DB10_00004825	0.1054	0.6467	0.0539	0.4598	0.296	0.527	0.691	33.64	0.873	0.659	450	458	-0.825546	0.054585
Dtak	DT10_00006051	0.1020	0.6601	0.0560	0.4478	0.281	0.534	0.695	34.89	0.874	0.657	453	461	-0.831019	0.054230
Dmel	FBpp0070444	0.2087	0.5333	0.1773	0.3419	0.271	0.321	0.557	47.30	0.691	0.584	440	448	-0.826339	0.055804
Dbia	DB10_00003577	0.1667	0.4667	0.0774	0.5168	0.197	0.387	0.598	41.78	0.799	0.634	184	193	-0.480829	0.056995
Dsuz	DS10_00000385	0.2053	0.4040	0.0892	0.5302	0.192	0.335	0.562	45.91	0.757	0.616	185	192	-0.492187	0.057292
Dtak	DT10_00001870	0.1854	0.4437	0.1146	0.4832	0.188	0.344	0.568	42.05	0.751	0.613	185	192	-0.500521	0.057292
Dmel	FBpp0086334	0.2171	0.3816	0.1835	0.4392	0.206	0.261	0.514	46.41	0.665	0.587	185	192	-0.435938	0.052083
Dbia	DB10_00000245	0.1649	0.4468	0.2174	0.4740	0.263	0.304	0.553	47.89	0.700	0.568	237	244	-0.961885	0.065574
Dsuz	DS10_00006724	0.1935	0.4194	0.2135	0.4734	0.247	0.276	0.534	48.58	0.681	0.566	232	239	-1.002929	0.066946
Dtak	DT10_00001340	0.1958	0.4233	0.2186	0.4598	0.250	0.259	0.523	50.39	0.675	0.566	237	244	-1.072131	0.065574
Dmel	FBpp0076490	0.1969	0.4404	0.2299	0.4294	0.243	0.286	0.541	48.98	0.665	0.557	242	250	-0.995200	0.064000
Dsuz	DS10_00009353	0.2689	0.3286	0.2458	0.3549	0.215	0.118	0.413	55.29	0.562	0.541	1760	1804	-0.350111	0.041020
Dbia	DB10_00010399	0.2398	0.3073	0.2335	0.3662	0.193	0.117	0.397	51.86	0.580	0.580	1275	1304	-0.217715	0.024540
Dtak	DT10_00008431	0.2208	0.3268	0.2120	0.3881	0.194	0.145	0.415	51.99	0.616	0.591	1258	1286	-0.216563	0.024883
Dmel	FBpp0304353	0.2705	0.2725	0.2505	0.3581	0.193	0.063	0.364	55.01	0.540	0.566	1181	1209	-0.248222	0.024814
Dbia	DB10_00006169	0.2587	0.3871	0.1766	0.4681	0.246	0.243	0.514	51.46	0.654	0.532	1176	1215	-0.251276	0.091358
Dsuz	DS10_00011554	0.2856	0.3572	0.2133	0.4334	0.224	0.173	0.468	53.80	0.603	0.511	1211	1249	-0.235869	0.094476
Dtak	DT10_00000392	0.2851	0.3524	0.2305	0.4197	0.225	0.156	0.456	54.22	0.590	0.505	1117	1155	-0.257489	0.085714
Dmel	FBpp0084875	0.2679	0.3786	0.1952	0.4491	0.254	0.216	0.493	52.11	0.634	0.526	724	742	-0.246361	0.071429
Dbia	DB10_00004779	0.2195	0.4444	0.1506	0.4443	0.267	0.333	0.570	46.76	0.699	0.578	2049	2124	-0.316384	0.073917
Dsuz	DS10_00004071	0.2021	0.4291	0.1578	0.4894	0.252	0.323	0.567	46.89	0.712	0.573	946	982	-0.399898	0.095723
Dtak	DT10_00000821	0.0544	0.5989	0.0375	0.5831	0.314	0.607	0.748	31.53	0.926	0.660	934	968	-0.372211	0.091942
Dmel	FBpp0070337	0.2282	0.4081	0.2219	0.4138	0.242	0.231	0.508	53.22	0.640	0.545	947	982	-0.401731	0.092668
Dtak	DT10_00004317	0.1874	0.4532	0.1236	0.4457	0.239	0.326	0.557	44.70	0.740	0.625	542	555	-0.576757	0.059459
Dbia	DB10_00005656	0.1800	0.4447	0.1326	0.4514	0.240	0.318	0.552	44.72	0.738	0.624	542	557	-0.545422	0.057451
Dsuz	DS10_00007628	0.2104	0.4273	0.1461	0.4249	0.230	0.275	0.525	48.09	0.702	0.609	543	557	-0.556732	0.059246
Dmel	FBpp0079420	0.2261	0.4109	0.1734	0.3991	0.232	0.249	0.507	50.30	0.666	0.599	542	556	-0.556115	0.059353
Dbia	DB10_00008475	0.1429	0.6357	0.0504	0.5194	0.333	0.622	0.770	33.38	0.852	0.608	183	189	-0.701058	0.074074
Dsuz	DS10_00004910	0.1449	0.6159	0.1064	0.4809	0.304	0.568	0.738	36.42	0.809	0.593	183	189	-0.701058	0.074074
Dtak	DT10_00009953	0.0714	0.6571	0.0432	0.5814	0.292	0.622	0.770	34.69	0.913	0.628	183	189	-0.713757	0.074074
Dmel	FBpp0074121	0.2086	0.5324	0.1429	0.4615	0.267	0.390	0.628	45.43	0.732	0.561	183	189	-0.659259	0.074074
Dbia	DB10_00010984	0.1390	0.5119	0.0966	0.5646	0.332	0.547	0.713	36.93	0.815	0.573	373	387	-0.195349	0.069767
Dsuz	DS10_00002143	0.1293	0.5170	0.1138	0.5535	0.324	0.538	0.708	37.91	0.810	0.572	373	387	-0.213437	0.069767
Dtak	DT10_00010996	0.1322	0.5220	0.0796	0.5815	0.346	0.550	0.716	37.08	0.834	0.580	373	387	-0.213179	0.069767
Dmel	FBpp0086705	0.2007	0.4286	0.1546	0.5257	0.299	0.424	0.635	44.55	0.721	0.541	373	387	-0.203101	0.069767
Dbia	DB10_00003374	0.2596	0.4596	0.1078	0.4266	0.294	0.314	0.557	46.53	0.693	0.576	323	339	-0.330384	0.106195
Dsuz	DS10_00002373	0.3193	0.3965	0.1991	0.3425	0.278	0.154	0.455	52.00	0.578	0.528	325	341	-0.412317	0.099707
Dtak	DT10_00008685	0.2931	0.4241	0.1688	0.3674	0.236	0.233	0.506	49.87	0.620	0.546	326	340	-0.334412	0.100000
Dmel	FBpp0071446	0.2439	0.4216	0.2297	0.3725	0.224	0.174	0.465	55.62	0.619	0.537	318	332	-0.304518	0.108434
Dbia	DB10_00007807	0.2166	0.4642	0.1755	0.4375	0.264	0.353	0.589	46.72	0.689	0.541	769	797	-0.250941	0.109159
Dsuz	DS10_00000630	0.2250	0.4442	0.2099	0.4289	0.255	0.317	0.570	47.95	0.659	0.528	672	695	-0.345324	0.100719
Dtak	DT10_00008186	0.1986	0.4577	0.1747	0.4729	0.233	0.364	0.598	46.31	0.706	0.544	734	758	-0.287863	0.100264
Dmel	FBpp0087614	0.2146	0.4130	0.2179	0.4460	0.236	0.262	0.532	52.35	0.654	0.532	301	312	-0.336538	0.096154
Dtak	DT10_00000281	0.2133	0.4377	0.1820	0.4379	0.242	0.268	0.524	50.14	0.684	0.555	942	959	-0.701773	0.058394
Dmel	FBpp0290925	0.2373	0.4042	0.1695	0.4670	0.277	0.265	0.524	49.52	0.679	0.561	756	759	-0.806719	0.052701
Dbia	DB10_00001461	0.1694	0.4899	0.1633	0.4558	0.294	0.380	0.600	44.22	0.735	0.584	653	655	-0.860916	0.058015
Dsuz	DS10_00007755	0.2244	0.4390	0.1889	0.4320	0.272	0.288	0.541	46.93	0.673	0.564	830	833	-0.873349	0.046819
Dsuz	DS10_00007044	0.1993	0.4091	0.1364	0.4689	0.190	0.304	0.543	44.53	0.718	0.599	341	350	-0.566571	0.045714
Dbia	DB10_00004826	0.1419	0.4498	0.0741	0.5474	0.202	0.407	0.610	41.27	0.819	0.649	349	356	-0.560674	0.044944
Dtak	DT10_00009776	0.1514	0.4472	0.1146	0.5074	0.210	0.368	0.587	40.63	0.777	0.622	341	351	-0.510256	0.045584
Dmel	FBpp0070446	0.1655	0.4345	0.1130	0.4982	0.213	0.406	0.611	41.14	0.767	0.617	347	353	-0.577904	0.045326
Dbia	DB10_00008573	0.1526	0.4882	0.1651	0.4984	0.244	0.362	0.593	44.52	0.751	0.568	1267	1298	-0.587827	0.091680
Dsuz	DS10_00007946	0.2845	0.3362	0.2655	0.4035	0.186	0.114	0.429	54.54	0.564	0.497	713	731	-0.443639	0.087551
Dtak	DT10_00004515	0.2205	0.4236	0.1756	0.4664	0.212	0.262	0.524	48.73	0.684	0.542	702	721	-0.435922	0.085992
Dmel	FBpp0089121	0.2285	0.3954	0.2444	0.4209	0.217	0.206	0.490	51.44	0.626	0.524	700	718	-0.471588	0.083565
Dsuz	DS10_00009352	0.1598	0.4845	0.1616	0.4842	0.262	0.414	0.627	45.00	0.747	0.596	249	261	-0.884291	0.103448
Dbia	DB10_00010398	0.1392	0.5155	0.1616	0.4737	0.271	0.433	0.639	38.53	0.763	0.604	249	261	-0.884291	0.103448
Dtak	DT10_00008430	0.1128	0.5436	0.0905	0.5445	0.276	0.486	0.672	37.38	0.840	0.627	250	261	-0.877395	0.103448
Dmel	FBpp0075676	0.1558	0.5025	0.1667	0.4660	0.285	0.417	0.628	44.35	0.747	0.592	253	264	-0.857955	0.102273
Dsuz	DS10_00010530	0.2738	0.4014	0.2163	0.3595	0.219	0.173	0.461	53.50	0.598	0.507	803	835	0.042515	0.098204
Dbia	DB10_00006372	0.2298	0.4670	0.1770	0.3854	0.241	0.292	0.541	47.87	0.667	0.531	935	966	0.038716	0.097308
Dtak	DT10_00006590	0.2513	0.4221	0.2315	0.3641	0.237	0.210	0.488	53.97	0.610	0.508	913	948	0.025211	0.101266
Dmel	FBpp0082933	0.2415	0.4190	0.1870	0.4096	0.238	0.252	0.511	50.66	0.647	0.522	799	831	0.062575	0.095066
Dtak	DT10_00005483	0.2752	0.3863	0.1927	0.4323	0.218	0.186	0.478	51.65	0.623	0.505	1375	1437	-0.348852	0.082811
Dsuz	DS10_00009179	0.2554	0.4224	0.2061	0.4591	0.264	0.225	0.517	50.62	0.650	0.507	557	577	-0.988735	0.048527
Dbia	DB10_00007602	0.2292	0.4421	0.2049	0.4717	0.269	0.268	0.545	48.83	0.672	0.517	582	602	-0.979402	0.051495
Dmel	FBpp0084272	0.2729	0.3784	0.2500	0.4437	0.248	0.136	0.461	54.46	0.604	0.491	586	607	-0.979736	0.049423
Dtak	DT10_00001496	0.1429	0.5238	0.1250	0.4717	0.242	0.342	0.581	43.02	0.784	0.628	74	77	-0.659740	0.077922
Dbia	DB10_00009469	0.0299	0.6418	0.0312	0.5161	0.243	0.535	0.696	34.19	0.949	0.723	79	83	-0.426506	0.072289
Dsuz	DS10_00002800	0.1148	0.5902	0.1071	0.4444	0.200	0.428	0.630	44.77	0.822	0.632	73	77	-0.641558	0.077922
Dmel	FBpp0071410	0.1452	0.5323	0.1636	0.4510	0.229	0.398	0.622	50.07	0.757	0.606	74	77	-0.663636	0.077922
Dtak	DT10_00002924	0.2259	0.4337	0.1585	0.4313	0.249	0.303	0.547	47.46	0.685	0.564	4472	4623	-0.272442	0.079602
Dbia	DB10_00001426	0.2193	0.4302	0.1492	0.4293	0.254	0.295	0.536	47.39	0.695	0.587	2595	2667	-0.426772	0.064117
Dsuz	DS10_00008816	0.2079	0.4157	0.1581	0.4388	0.239	0.266	0.512	48.68	0.697	0.598	1540	1587	-0.568620	0.045999
Dmel	FBpp0110132	0.2357	0.3871	0.1818	0.4178	0.252	0.211	0.476	50.75	0.655	0.580	1615	1658	-0.551870	0.051870
Dbia	DB10_00008476	0.2814	0.3713	0.2713	0.3427	0.312	0.175	0.462	54.75	0.557	0.529	221	226	-0.722124	0.039823
Dsuz	DS10_00004911	0.2857	0.3292	0.3068	0.3494	0.265	0.102	0.417	57.12	0.526	0.512	211	217	-0.716590	0.041475
Dtak	DT10_00009952	0.1719	0.4844	0.1793	0.4851	0.311	0.384	0.606	47.82	0.726	0.547	175	179	-0.806145	0.050279
Dmel	FBpp0074114	0.3455	0.2970	0.3333	0.2874	0.314	0.023	0.364	53.30	0.456	0.492	217	222	-0.861261	0.031532
Dmel	FBpp0082469	0.2277	0.4307	0.1162	0.5763	0.303	0.377	0.609	46.86	0.733	0.528	258	267	-0.088390	0.108614
Dbia	DB10_00001281	0.1485	0.5050	0.0960	0.6045	0.315	0.525	0.702	39.87	0.810	0.559	258	267	-0.088390	0.108614
Dsuz	DS10_00010441	0.1974	0.4934	0.0884	0.5615	0.338	0.520	0.696	37.31	0.775	0.552	191	197	-0.028426	0.101523
Dtak	DT10_00005782	0.1485	0.5297	0.0854	0.5843	0.310	0.483	0.674	37.55	0.818	0.561	258	267	-0.062172	0.108614
Dbia	DB10_00004580	0.1081	0.5169	0.0656	0.5409	0.271	0.426	0.625	32.55	0.854	0.638	549	564	-0.741667	0.054965
Dsuz	DS10_00007432	0.1467	0.4644	0.1050	0.5127	0.261	0.347	0.572	37.96	0.789	0.613	521	536	-0.703358	0.057836
Dtak	DT10_00009716	0.0839	0.5247	0.0795	0.5446	0.247	0.450	0.642	32.41	0.864	0.642	544	559	-0.747048	0.055456
Dmel	FBpp0070418	0.1880	0.4295	0.1293	0.4889	0.236	0.300	0.544	43.70	0.735	0.591	544	560	-0.775893	0.057143
Dbia	DB10_00011117	0.2980	0.3609	0.2552	0.3690	0.259	0.113	0.434	55.10	0.560	0.515	373	392	-0.491071	0.104592
Dsuz	DS10_00012231	0.2599	0.4342	0.1993	0.3866	0.273	0.215	0.500	53.02	0.634	0.548	372	392	-0.435714	0.104592
Dtak	DT10_00011980	0.2806	0.4226	0.2074	0.3665	0.282	0.187	0.483	54.21	0.611	0.537	383	403	-0.419355	0.114144
Dmel	FBpp0085295	0.2588	0.3898	0.2517	0.3604	0.274	0.150	0.454	55.81	0.588	0.540	381	400	-0.413000	0.105000
Dbia	DB10_00002778	0.1743	0.4927	0.1372	0.4269	0.256	0.330	0.555	42.80	0.745	0.607	1171	1217	-0.896385	0.050123
Dsuz	DS10_00010588	0.1835	0.4824	0.1353	0.4362	0.267	0.329	0.554	42.71	0.740	0.599	1053	1095	-0.850594	0.051142
Dtak	DT10_00004005	0.1544	0.5283	0.1001	0.4612	0.276	0.398	0.601	39.44	0.793	0.615	1031	1071	-0.866947	0.053221
Dmel	FBpp0074968	0.2468	0.4230	0.1884	0.3837	0.251	0.244	0.500	50.32	0.646	0.566	1053	1097	-0.864449	0.051048
Dbia	DB10_00009323	0.2127	0.4820	0.1813	0.4372	0.250	0.310	0.567	49.67	0.694	0.550	1351	1390	-0.606906	0.090647
Dtak	DT10_00011718	0.1954	0.4811	0.1708	0.4260	0.257	0.333	0.573	48.08	0.706	0.567	913	944	-0.385169	0.093220
Dsuz	DS10_00009531	0.1312	0.5543	0.1167	0.4458	0.262	0.430	0.632	41.32	0.799	0.618	533	554	-0.405776	0.113718
Dmel	FBpp0078095	0.2149	0.4839	0.1280	0.4358	0.270	0.325	0.568	46.73	0.725	0.587	618	638	-0.467085	0.095611
Dmel	FBpp0087585	0.2199	0.4296	0.1799	0.4620	0.224	0.261	0.533	49.53	0.684	0.573	721	758	-1.058707	0.101583
Dbia	DB10_00007805	0.1816	0.4805	0.1517	0.4727	0.232	0.337	0.582	42.81	0.736	0.591	531	555	-1.099640	0.115315
Dsuz	DS10_00000632	0.1890	0.4879	0.1457	0.4599	0.246	0.338	0.582	43.82	0.734	0.590	545	573	-0.974520	0.113438
Dtak	DT10_00008184	0.2059	0.4577	0.1612	0.4421	0.227	0.305	0.557	46.06	0.705	0.584	522	548	-0.963686	0.111314
Dtak	DT10_00001800	0.2696	0.4087	0.2453	0.3803	0.237	0.176	0.479	53.98	0.596	0.486	1098	1134	-0.362081	0.119929
Dsuz	DS10_00003493	0.3032	0.3646	0.3138	0.3444	0.203	0.082	0.425	55.22	0.525	0.452	680	699	-0.522175	0.105866
Dbia	DB10_00008062	0.2305	0.4283	0.2615	0.4074	0.234	0.192	0.492	53.50	0.621	0.489	681	699	-0.531903	0.105866
Dmel	FBpp0072119	0.2264	0.4185	0.2470	0.4489	0.222	0.200	0.499	52.52	0.637	0.486	680	700	-0.583857	0.107143
Dbia	DB10_00002096	0.2169	0.4395	0.1819	0.4187	0.236	0.293	0.539	50.09	0.679	0.563	2958	3039	-0.832708	0.034880
Dsuz	DS10_00004527	0.2165	0.4301	0.1983	0.4231	0.217	0.283	0.535	50.41	0.669	0.555	1895	1940	-0.998248	0.022680
Dtak	DT10_00009016	0.1959	0.4456	0.1783	0.4422	0.224	0.313	0.553	47.29	0.700	0.571	1866	1908	-1.015042	0.020964
Dmel	FBpp0078995	0.2147	0.4243	0.2007	0.4227	0.222	0.266	0.523	50.47	0.667	0.560	1852	1895	-1.009868	0.021108
Dtak	DT10_00002520	0.2163	0.4316	0.1488	0.4611	0.283	0.316	0.559	46.06	0.705	0.588	1174	1209	-0.658395	0.043838
