Gene,locus,Female Expression,Male Expression,Sex_Bias
DS10_00003435,scaffold2:12760314-12760854,0.00,52.97,male
DS10_00003437,scaffold2:12792841-12793839,0.00,49.91,male
DS10_00003439,scaffold2:12805081-12806002,0.00,57.36,male
DS10_00003440,scaffold2:12808985-12811143,0.00,13.61,male
DS10_00003441,scaffold2:12811492-12814394,0.01,58.07,male
DS10_00003446,scaffold2:12840658-12841384,0.00,27.60,male
DS10_00003453,scaffold2:12885756-12886839,0.07,28.26,male
DS10_00003475,scaffold2:12958007-12961514,217.66,59.90,female
DS10_00003477,scaffold2:12962197-12965287,0.62,22.76,male
DS10_00003479,scaffold2:13001839-13002190,0.00,65.53,male
DS10_00003482,scaffold2:13018797-13019605,0.00,130.93,male
DS10_00003483,scaffold2:13020145-13021828,0.00,46.41,male
DS10_00003486,scaffold2:13053998-13054511,0.00,46.16,male
DS10_00003492,scaffold2:13158551-13159502,0.04,34.00,male
DS10_00003509,scaffold2:13373110-13374804,0.10,17.13,male
DS10_00003512,scaffold2:13389962-13391588,15.31,63.36,male
DS10_00003526,scaffold2:13458169-13479805,0.10,35.94,male
DS10_00003531,scaffold2:13496366-13499718,5.75,0.45,female
DS10_00003532,scaffold2:13500615-13511312,9.24,28.96,male
DS10_00003544,scaffold2:13630292-13632020,0.00,25.66,male
DS10_00003546,scaffold2:13687435-13688106,0.00,61.65,male
DS10_00003547,scaffold2:13688801-13690784,0.00,125.84,male
DS10_00003548,scaffold2:13696133-13704226,0.00,116.05,male
DS10_00003551,scaffold2:13716667-13717087,0.00,77.12,male
DS10_00003599,scaffold2:14087333-14124835,0.12,26.03,male
DS10_00003628,scaffold2:14485143-14486316,0.04,24.49,male
DS10_00003633,scaffold3:3970-4296,10.53,0.14,female
DS10_00003643,scaffold3:130284-132529,0.04,105.42,male
DS10_00003669,scaffold3:520047-521010,1.37,15.63,male
DS10_00003676,scaffold3:561848-564347,3.61,20.69,male
DS10_00003698,scaffold3:811404-815716,0.26,18.59,male
DS10_00003703,scaffold3:843637-845034,0.17,42.76,male
DS10_00003706,scaffold3:853625-854789,0.00,26.89,male
DS10_00003708,scaffold3:864009-865698,0.00,38.00,male
DS10_00003710,scaffold3:885196-886532,0.09,73.92,male
DS10_00003731,scaffold3:1062493-1063276,6.58,0.25,female
DS10_00003734,scaffold3:1068780-1078053,2.79,44.60,male
DS10_00003757,scaffold3:1276479-1295476,1.51,237.25,male
DS10_00003784,scaffold3:1523041-1525246,0.07,50.91,male
DS10_00003786,scaffold3:1566250-1581393,2.41,59.75,male
DS10_00003787,scaffold3:1582368-1584870,13.14,1.53,female
DS10_00003792,scaffold3:1638581-1645965,7.37,60.99,male
DS10_00003795,scaffold3:1659214-1664311,0.92,18.61,male
DS10_00003810,scaffold3:1755067-1756240,3.01,76.29,male
DS10_00003817,scaffold3:1809475-1816010,35.12,145.68,male
DS10_00003824,scaffold3:1921152-1924790,16.64,2.19,female
DS10_00003825,scaffold3:1945648-1946956,0.03,6.71,male
DS10_00003826,scaffold3:1962882-1964118,0.00,23.68,male
DS10_00003838,scaffold3:2100761-2101624,2.08,34.12,male
DS10_00003875,scaffold3:2328935-2330078,0.00,40.06,male
DS10_00003877,scaffold3:2331635-2332508,0.26,43.39,male
DS10_00003884,scaffold3:2413121-2416756,34.86,2.35,female
DS10_00003886,scaffold3:2417963-2428980,2.22,56.69,male
DS10_00003887,scaffold3:2432895-2434590,9.24,0.31,female
DS10_00003889,scaffold3:2437681-2441083,0.80,26.99,male
DS10_00003926,scaffold3:2912658-2914352,0.00,19.81,male
DS10_00003928,scaffold3:2937230-2947723,0.04,12.27,male
DS10_00003929,scaffold3:2956405-2957363,0.00,37.52,male
DS10_00003931,scaffold3:3010879-3012227,0.03,27.00,male
DS10_00003932,scaffold3:3014002-3017008,0.06,2.60,male
DS10_00003933,scaffold3:3017248-3018082,0.07,42.24,male
DS10_00003935,scaffold3:3042723-3044253,0.00,18.51,male
DS10_00003939,scaffold3:3239393-3240938,0.00,55.79,male
DS10_00003943,scaffold3:3294024-3294672,0.00,85.39,male
DS10_00003944,scaffold3:3296715-3298329,0.00,253.12,male
DS10_00003946,scaffold3:3328872-3330447,0.10,382.76,male
DS10_00003947,scaffold3:3404623-3405340,0.00,62.93,male
DS10_00003957,scaffold3:3492803-3495020,21.46,238.76,male
DS10_00003959,scaffold3:3496070-3503076,0.26,36.88,male
DS10_00003975,scaffold3:3803732-3807680,0.20,75.28,male
DS10_00003990,scaffold3:3925417-3926032,0.00,59.92,male
DS10_00003994,scaffold3:4003459-4004089,0.00,47.96,male
DS10_00003995,scaffold3:4014490-4015640,0.09,49.78,male
DS10_00004016,scaffold3:4642024-4642762,0.11,2.12,male
DS10_00004031,scaffold3:4764032-4767761,3.11,27.28,male
DS10_00004043,scaffold3:4950615-4951680,0.36,83.25,male
DS10_00004044,scaffold3:4958614-4959515,0.79,189.26,male
DS10_00004065,scaffold3:5345419-5345843,0.00,134.45,male
DS10_00004071,scaffold3:5430847-5432310,0.52,257.58,male
DS10_00004074,scaffold3:5455137-5455668,0.00,36.64,male
DS10_00004076,scaffold3:5482391-5483522,0.05,11.53,male
DS10_00004084,scaffold3:5556233-5557030,24.15,0.00,female
DS10_00004091,scaffold3:5735391-5735841,0.62,5.00,male
DS10_00004100,scaffold3:5795805-5796594,0.00,25.99,male
DS10_00004113,scaffold3:5882521-5895209,0.06,10.56,male
DS10_00004117,scaffold3:5942906-5953364,1.62,14.73,male
DS10_00004146,scaffold3:6271262-6273563,68.00,2.34,female
DS10_00004176,scaffold3:6571749-6580674,0.11,22.33,male
DS10_00004183,scaffold3:6618227-6619136,0.28,5.07,male
DS10_00004192,scaffold3:6749117-6749841,0.00,100.03,male
DS10_00004200,scaffold3:6995291-7004595,2.20,0.07,female
DS10_00004201,scaffold3:7005218-7010898,16.13,84.66,male
DS10_00004202,scaffold3:7005218-7010898,26.94,1.13,female
DS10_00004203,scaffold3:7011712-7023326,5.68,26.13,male
DS10_00004205,scaffold3:7075080-7076505,0.00,38.52,male
DS10_00004214,scaffold3:7180709-7187875,1.03,23.87,male
DS10_00004227,scaffold3:7414409-7417358,0.13,14.39,male
DS10_00004229,scaffold3:7446778-7446943,0.98,111.62,male
DS10_00004243,scaffold3:7582952-7586504,0.00,40.41,male
DS10_00004245,scaffold3:7589686-7601271,0.04,84.38,male
DS10_00004254,scaffold3:7639978-7640666,0.26,22.30,male
DS10_00004267,scaffold3:7732415-7734430,0.00,23.79,male
DS10_00004273,scaffold3:7762500-7766979,10.81,45.18,male
DS10_00004287,scaffold3:7940271-7941250,0.15,6.44,male
DS10_00004289,scaffold3:7959920-7983629,0.01,16.15,male
DS10_00004292,scaffold3:7991999-8017925,0.22,52.29,male
DS10_00004295,scaffold3:8051831-8052519,0.00,54.16,male
DS10_00004304,scaffold3:8143803-8145052,0.28,265.62,male
DS10_00004311,scaffold3:8172273-8176484,4.23,0.42,female
DS10_00004332,scaffold3:8487526-8493511,0.14,7.27,male
DS10_00004339,scaffold3:8521059-8521685,0.20,25.88,male
DS10_00004349,scaffold3:8575113-8576973,0.02,2.07,male
DS10_00004350,scaffold3:8586099-8588716,0.00,14.86,male
DS10_00004351,scaffold3:8589634-8594144,0.00,36.39,male
DS10_00004353,scaffold3:8615183-8615784,0.00,75.51,male
DS10_00004359,scaffold3:8646824-8672958,0.67,9.38,male
DS10_00004369,scaffold3:8937926-8978121,0.41,20.59,male
DS10_00004383,scaffold3:9125068-9126202,0.04,22.82,male
DS10_00004393,scaffold3:9263724-9264339,0.00,40.81,male
DS10_00004394,scaffold3:9264423-9264882,0.16,44.42,male
DS10_00004413,scaffold3:9471216-9472590,0.00,15.16,male
DS10_00004420,scaffold3:9655112-9656033,0.00,93.92,male
DS10_00004425,scaffold3:9730176-9731430,0.10,11.07,male
DS10_00004428,scaffold3:9738367-9753236,7.23,22.17,male
DS10_00004443,scaffold3:9859877-9864038,3.13,0.10,female
DS10_00004464,scaffold3:9995826-10014984,0.04,31.51,male
DS10_00004485,scaffold3:10123194-10136277,1.09,104.64,male
DS10_00004486,scaffold3:10136518-10138428,1.04,23.82,male
DS10_00004497,scaffold3:10201058-10208612,0.52,7.50,male
DS10_00004503,scaffold3:10259956-10260246,0.71,6.39,male
DS10_00004505,scaffold3:10263879-10267183,0.39,78.53,male
DS10_00004506,scaffold3:10271046-10271688,0.00,33.05,male
DS10_00004509,scaffold3:10321354-10322659,0.00,48.31,male
DS10_00004511,scaffold3:10327778-10329158,0.00,39.00,male
DS10_00004531,scaffold3:10514367-10518986,0.04,208.44,male
DS10_00004532,scaffold3:10519376-10520132,0.00,71.02,male
DS10_00004542,scaffold3:10553364-10553787,303.45,16.01,female
DS10_00004543,scaffold3:10556685-10557108,147.09,7.08,female
DS10_00004561,scaffold3:10886124-10890330,0.43,10.92,male
DS10_00004594,scaffold3:11236162-11237224,0.00,36.18,male
DS10_00004598,scaffold3:11295584-11297193,0.00,38.10,male
DS10_00004600,scaffold3:11400901-11401375,0.19,54.56,male
DS10_00004602,scaffold3:11468934-11469426,1.24,34.53,male
DS10_00004605,scaffold3:11474304-11477707,0.56,39.91,male
DS10_00004612,scaffold3:11593288-11593873,0.00,51.82,male
DS10_00004615,scaffold3:11697763-11700358,0.06,12.39,male
DS10_00004644,scaffold3:11881758-11903540,0.11,3.87,male
DS10_00004650,scaffold4:57260-58349,0.90,15.65,male
DS10_00004653,scaffold4:100959-101557,0.00,67.34,male
DS10_00004669,scaffold4:304317-307971,0.24,22.56,male
DS10_00004685,scaffold4:411913-415347,0.12,15.26,male
DS10_00004691,scaffold4:556439-565963,20.58,2.05,female
DS10_00004701,scaffold4:752316-753305,0.05,4.03,male
DS10_00004711,scaffold4:902744-904694,0.22,53.59,male
DS10_00004715,scaffold4:932896-933499,0.00,27.11,male
DS10_00004727,scaffold4:1076950-1080959,8.43,1.82,female
DS10_00004732,scaffold4:1114962-1117407,8.24,1.23,female
DS10_00004734,scaffold4:1124769-1125465,0.82,39.52,male
DS10_00004752,scaffold4:1249358-1251358,0.06,10.10,male
DS10_00004767,scaffold4:1351682-1352255,0.07,13.01,male
DS10_00004776,scaffold4:1397463-1397940,0.26,8.02,male
DS10_00004801,scaffold4:1714383-1720696,0.45,3.85,male
DS10_00004803,scaffold4:1732809-1733253,0.34,75.32,male
DS10_00004812,scaffold4:1995926-2007371,0.03,26.83,male
DS10_00004826,scaffold4:2121190-2122000,0.00,19.06,male
DS10_00004833,scaffold4:2239240-2243952,0.03,4.02,male
DS10_00004834,scaffold4:2244690-2250853,0.19,2.51,male
DS10_00004848,scaffold4:2402563-2404370,0.00,15.57,male
DS10_00004850,scaffold4:2411174-2414067,0.00,23.62,male
DS10_00004851,scaffold4:2463752-2464376,0.00,29.47,male
DS10_00004852,scaffold4:2476184-2477483,0.00,27.19,male
DS10_00004853,scaffold4:2515309-2516590,0.00,22.39,male
DS10_00004855,scaffold4:2611027-2612073,0.00,22.87,male
DS10_00004856,scaffold4:2621906-2622770,0.09,147.90,male
DS10_00004858,scaffold4:2684094-2685796,0.03,53.05,male
DS10_00004859,scaffold4:2686189-2686936,0.51,108.57,male
DS10_00004880,scaffold4:3079809-3080361,0.09,204.48,male
DS10_00004890,scaffold4:3245167-3246706,925.42,0.67,female
DS10_00004891,scaffold4:3248354-3250103,669.63,0.98,female
DS10_00004939,scaffold4:4069912-4071067,0.16,25.00,male
DS10_00004946,scaffold4:4138145-4147237,0.07,25.58,male
DS10_00004965,scaffold4:4231045-4231714,72.34,16.69,female
DS10_00004970,scaffold4:4270815-4271691,2.70,0.17,female
DS10_00004977,scaffold4:4304662-4311637,7.96,0.32,female
DS10_00004981,scaffold4:4353482-4355199,1.42,16.60,male
DS10_00005024,scaffold4:4997520-4999974,8.69,1.38,female
DS10_00005032,scaffold4:5046541-5048752,0.04,43.99,male
DS10_00005034,scaffold4:5090551-5091689,0.05,36.88,male
DS10_00005045,scaffold4:5313748-5315682,18.22,3.43,female
DS10_00005071,scaffold5:96579-99346,0.00,11.44,male
DS10_00005074,scaffold5:109861-125165,0.22,18.36,male
DS10_00005077,scaffold5:240969-254057,1.26,26.96,male
DS10_00005148,scaffold5:968819-970141,0.09,12.34,male
DS10_00005176,scaffold5:1235561-1236615,3.62,46.99,male
DS10_00005188,scaffold5:1355219-1356100,0.46,4.72,male
DS10_00005207,scaffold5:1452417-1457002,3.80,19.45,male
DS10_00005224,scaffold5:1749156-1752925,0.05,41.00,male
DS10_00005226,scaffold5:1764588-1766318,0.71,17.27,male
DS10_00005283,scaffold5:2319840-2321844,7.17,34.95,male
DS10_00005286,scaffold5:2343520-2344580,0.27,13.59,male
DS10_00005299,scaffold5:2518831-2520166,0.00,52.65,male
DS10_00005314,scaffold5:2693378-2695661,0.00,28.62,male
DS10_00005325,scaffold5:2837038-2838380,0.00,32.54,male
DS10_00005326,scaffold5:2838737-2839334,0.07,146.55,male
DS10_00005338,scaffold5:3050210-3052844,0.13,3.29,male
DS10_00005352,scaffold5:3359433-3375718,0.03,4.01,male
DS10_00005364,scaffold5:3451915-3452695,0.00,34.60,male
DS10_00005381,scaffold5:3634736-3636215,0.18,20.08,male
DS10_00005391,scaffold5:3799239-3799869,0.07,12.79,male
DS10_00005392,scaffold5:3834406-3835420,0.04,11.65,male
DS10_00005398,scaffold5:3884726-3886494,7.79,0.02,female
DS10_00005402,scaffold5:3926392-3928336,0.00,24.82,male
DS10_00005411,scaffold5:4066295-4080925,0.00,110.69,male
DS10_00005424,scaffold5:4202081-4203933,0.05,18.08,male
DS10_00005429,scaffold5:4281440-4282945,0.04,44.34,male
DS10_00005444,scaffold5:4606540-4608955,0.02,41.52,male
DS10_00005446,scaffold5:4618309-4620439,23.49,2.61,female
DS10_00005449,scaffold5:4642468-4645754,0.00,16.65,male
DS10_00005450,scaffold5:4663419-4667436,0.00,18.60,male
DS10_00005452,scaffold5:4684560-4686120,0.00,22.45,male
DS10_00005456,scaffold5:4714950-4715274,129.67,0.00,female
DS10_00005460,scaffold5:4741363-4745847,0.00,41.77,male
DS10_00005461,scaffold5:4747302-4748125,0.00,37.16,male
DS10_00005462,scaffold5:4748533-4749158,0.00,49.73,male
DS10_00005467,scaffold6:167763-169439,0.32,5.13,male
DS10_00005469,scaffold6:281634-282420,0.00,47.55,male
DS10_00005479,scaffold6:346137-347938,24.60,1.50,female
DS10_00005498,scaffold6:505803-507264,0.03,10.30,male
DS10_00005507,scaffold6:595052-599157,6.19,0.86,female
DS10_00005511,scaffold6:640582-654232,0.05,10.11,male
DS10_00005517,scaffold6:765630-767261,1.37,71.57,male
DS10_00005535,scaffold6:859363-863123,1.04,13.82,male
DS10_00005540,scaffold6:978850-994039,0.22,3.64,male
DS10_00005563,scaffold6:1309515-1312197,4.51,0.72,female
DS10_00005565,scaffold6:1322710-1323727,1.29,98.94,male
DS10_00005587,scaffold6:1532093-1546571,0.04,3.71,male
DS10_00005594,scaffold6:1579258-1582390,7.07,0.42,female
DS10_00005596,scaffold6:1604180-1608628,9.07,50.54,male
DS10_00005638,scaffold6:2120638-2130217,0.01,14.87,male
DS10_00005656,scaffold6:2347775-2359657,0.22,43.84,male
DS10_00005659,scaffold6:2382765-2383276,0.11,33.01,male
DS10_00005665,scaffold6:2409273-2413075,3.55,39.52,male
DS10_00005674,scaffold6:2467521-2470493,10.14,2.03,female
DS10_00005675,scaffold6:2470883-2478784,13.37,46.46,male
DS10_00005684,scaffold6:2509668-2516164,1.24,46.58,male
DS10_00005709,scaffold6:2686797-2694477,1.10,40.37,male
DS10_00005721,scaffold6:2871897-2873517,0.05,10.79,male
DS10_00005741,scaffold6:3044041-3044392,0.17,33.93,male
DS10_00005753,scaffold6:3192916-3194570,11.55,1.89,female
DS10_00005764,scaffold6:3216073-3279212,0.45,81.19,male
DS10_00005771,scaffold6:3410580-3411207,0.08,30.46,male
DS10_00005785,scaffold6:3579264-3583975,50.41,7.61,female
DS10_00005809,scaffold6:3758153-3760913,0.00,7.89,male
DS10_00005812,scaffold6:3832176-3839731,4.00,18.99,male
DS10_00005817,scaffold6:3931755-3932996,0.00,96.65,male
DS10_00005818,scaffold6:3937794-3939434,0.05,74.67,male
DS10_00005831,scaffold6:4166813-4168367,3.84,32.62,male
DS10_00005858,scaffold6:4350770-4354027,0.60,17.52,male
DS10_00005863,scaffold7:32163-34888,0.05,9.81,male
DS10_00005896,scaffold7:246227-247538,0.09,7.00,male
DS10_00005904,scaffold7:274639-286405,2.10,10.85,male
DS10_00005908,scaffold7:295878-305867,0.18,6.44,male
DS10_00005930,scaffold7:488707-497765,0.06,8.87,male
DS10_00005931,scaffold7:488707-497765,0.09,7.60,male
DS10_00005937,scaffold7:530966-534276,0.00,23.63,male
DS10_00005950,scaffold7:795990-796998,0.00,21.39,male
DS10_00005951,scaffold7:797548-798855,0.28,11.37,male
DS10_00005969,scaffold7:896058-898446,0.04,9.40,male
DS10_00005973,scaffold7:937028-943591,219.58,12.21,female
DS10_00005978,scaffold7:1105615-1109068,0.00,35.97,male
DS10_00005979,scaffold7:1152159-1152606,0.18,3.21,male
DS10_00005980,scaffold7:1153163-1155396,0.17,2.06,male
DS10_00005981,scaffold7:1156411-1161004,0.03,4.49,male
DS10_00005982,scaffold7:1161523-1162894,0.04,17.25,male
DS10_00005983,scaffold7:1164805-1166625,0.12,2.39,male
DS10_00006002,scaffold7:1464949-1470274,0.18,14.19,male
DS10_00006003,scaffold7:1470670-1471714,0.10,15.30,male
DS10_00006004,scaffold7:1473261-1476671,0.09,23.91,male
DS10_00006006,scaffold7:1485537-1486492,0.22,12.40,male
DS10_00006010,scaffold7:1524710-1527737,0.11,83.95,male
DS10_00006018,scaffold7:1545063-1546484,0.09,30.79,male
DS10_00006022,scaffold7:1582892-1583465,0.00,68.79,male
DS10_00006031,scaffold7:1738332-1747665,1.99,99.02,male
DS10_00006053,scaffold7:1862755-1866700,10.78,0.25,female
DS10_00006059,scaffold7:1899591-1900182,0.36,5.13,male
DS10_00006063,scaffold7:1968385-1969775,0.18,2.66,male
DS10_00006089,scaffold7:2733091-2734225,0.29,15.86,male
DS10_00006090,scaffold7:2776832-2777408,0.17,15.01,male
DS10_00006091,scaffold7:2811397-2812000,0.00,100.65,male
DS10_00006093,scaffold7:2816629-2817862,0.00,15.23,male
DS10_00006099,scaffold7:2852486-2857649,0.12,9.53,male
DS10_00006101,scaffold7:2867249-2888812,0.00,24.02,male
DS10_00006114,scaffold7:3294104-3299262,30.26,5.89,female
DS10_00006122,scaffold7:3417935-3420215,4.15,0.51,female
DS10_00006138,scaffold7:3843152-3856415,0.00,8.74,male
DS10_00006139,scaffold7:3856848-3858343,0.00,13.91,male
DS10_00006149,scaffold7:3983703-3985774,0.02,3.24,male
DS10_00006158,scaffold7:4074658-4075270,0.00,42.21,male
DS10_00006185,scaffold11:56497-63456,0.16,20.73,male
DS10_00006188,scaffold11:75238-82731,1.64,16.68,male
DS10_00006202,scaffold11:158355-159378,0.10,7.79,male
DS10_00006229,scaffold11:453105-454014,0.05,16.15,male
DS10_00006230,scaffold11:459867-463048,0.44,5.78,male
DS10_00006240,scaffold11:560407-562288,0.00,24.48,male
DS10_00006250,scaffold11:774143-795196,0.31,13.63,male
DS10_00006267,scaffold11:972787-982214,0.09,48.13,male
DS10_00006283,scaffold11:1122430-1125230,4.12,20.75,male
DS10_00006284,scaffold11:1129788-1130741,0.00,18.08,male
DS10_00006300,scaffold11:1270333-1271632,0.22,16.43,male
DS10_00006318,scaffold11:1412414-1420327,0.08,37.38,male
DS10_00006329,scaffold11:1518835-1520708,0.04,3.63,male
DS10_00006338,scaffold11:1607493-1609515,0.02,20.53,male
DS10_00006358,scaffold11:1757036-1757398,0.19,16.98,male
DS10_00006368,scaffold11:1848668-1851063,4.34,42.24,male
DS10_00006377,scaffold11:1977831-1979594,0.10,19.85,male
DS10_00006382,scaffold11:2081365-2082096,0.07,34.45,male
DS10_00006387,scaffold11:2095456-2103248,0.00,37.61,male
DS10_00006391,scaffold11:2160941-2168892,1.60,16.68,male
DS10_00006394,scaffold11:2182182-2190490,1.77,13.17,male
DS10_00006409,scaffold11:2404538-2405392,0.07,42.47,male
DS10_00006424,scaffold11:2508184-2512393,0.22,5.22,male
DS10_00006425,scaffold11:2567529-2569632,0.08,7.94,male
DS10_00006436,scaffold11:2844106-2844441,0.00,202.70,male
DS10_00006444,scaffold11:2911869-2913510,0.05,6.07,male
DS10_00006461,scaffold11:3226405-3227743,0.00,34.22,male
DS10_00006462,scaffold11:3237768-3238962,0.03,17.55,male
DS10_00006465,scaffold11:3272668-3273703,0.00,30.03,male
DS10_00006467,scaffold11:3467501-3468726,0.00,21.06,male
DS10_00006468,scaffold11:3608323-3614946,0.01,15.00,male
DS10_00006471,scaffold11:3640734-3641100,0.00,435.05,male
DS10_00006478,scaffold11:3698403-3699408,0.00,25.25,male
DS10_00006503,scaffold11:3987213-3987858,0.00,46.08,male
DS10_00006505,scaffold11:4044313-4045234,0.00,25.59,male
DS10_00006511,scaffold8:86066-87863,0.35,19.90,male
DS10_00006516,scaffold8:184290-184662,0.17,8.18,male
DS10_00006517,scaffold8:188653-189954,0.66,7.20,male
DS10_00006521,scaffold8:241957-242983,0.04,57.99,male
DS10_00006535,scaffold8:502194-520298,0.03,18.46,male
DS10_00006545,scaffold8:592606-594190,0.00,410.26,male
DS10_00006550,scaffold8:688696-702290,0.07,30.72,male
DS10_00006551,scaffold8:704682-706317,0.15,39.17,male
DS10_00006554,scaffold8:779985-781644,0.02,48.04,male
DS10_00006559,scaffold8:824897-825980,0.00,41.41,male
DS10_00006567,scaffold8:872761-894121,0.19,2.73,male
DS10_00006568,scaffold8:872761-894121,0.34,15.43,male
DS10_00006585,scaffold8:1013289-1017948,0.01,7.92,male
DS10_00006587,scaffold8:1019441-1023931,0.02,9.27,male
DS10_00006589,scaffold8:1062168-1063322,0.00,45.06,male
DS10_00006595,scaffold8:1174784-1181650,0.03,42.47,male
DS10_00006608,scaffold8:1224914-1231408,0.27,96.30,male
DS10_00006622,scaffold8:1320716-1321331,0.00,37.62,male
DS10_00006624,scaffold8:1336410-1343378,0.02,61.27,male
DS10_00006632,scaffold8:1391344-1410707,6.55,34.56,male
DS10_00006637,scaffold8:1487451-1488915,927.70,171.07,female
DS10_00006643,scaffold8:1499518-1500782,3.46,0.46,female
DS10_00006681,scaffold8:1786221-1804472,0.97,16.79,male
DS10_00006695,scaffold8:1888192-1916422,0.32,4.79,male
DS10_00006735,scaffold8:2210195-2210543,0.00,68.56,male
DS10_00006737,scaffold8:2214005-2214746,0.05,144.98,male
DS10_00006739,scaffold8:2324771-2325608,0.00,59.74,male
DS10_00006740,scaffold8:2325660-2326968,0.00,127.34,male
DS10_00006741,scaffold8:2327278-2334014,0.01,25.75,male
DS10_00006742,scaffold8:2334015-2334495,0.00,212.76,male
DS10_00006743,scaffold8:2335957-2336790,0.00,210.05,male
DS10_00006744,scaffold8:2338617-2339358,0.00,329.26,male
DS10_00006772,scaffold8:2630379-2631113,0.00,40.80,male
DS10_00006784,scaffold8:2715490-2734019,0.75,64.24,male
DS10_00006789,scaffold8:2752004-2755975,0.05,28.06,male
DS10_00006792,scaffold8:2758829-2765154,4.85,0.32,female
DS10_00006793,scaffold8:2765972-2766530,8.40,1.22,female
DS10_00006800,scaffold8:2847772-2848792,0.00,42.31,male
DS10_00006801,scaffold8:2869724-2917327,1.38,10.77,male
DS10_00006815,scaffold10:93548-94198,634.50,180.92,female
DS10_00006829,scaffold10:218581-227122,5.22,1.03,female
DS10_00006852,scaffold10:470344-475526,15.06,1.18,female
DS10_00006883,scaffold10:917672-918833,0.10,187.09,male
DS10_00006899,scaffold10:1143119-1145333,5.42,24.90,male
DS10_00006906,scaffold10:1186123-1187038,0.67,8.57,male
DS10_00006907,scaffold10:1187489-1191967,15.22,59.49,male
DS10_00006920,scaffold10:1275423-1275912,0.00,329.86,male
DS10_00006921,scaffold10:1299238-1299658,0.00,94.73,male
DS10_00006925,scaffold10:1355058-1355451,0.14,58.78,male
DS10_00006937,scaffold10:1523785-1524742,0.00,16.70,male
DS10_00006939,scaffold10:1582003-1584248,0.04,12.39,male
DS10_00006942,scaffold10:1752751-1759185,0.07,23.51,male
DS10_00006943,scaffold10:1759372-1760089,0.06,20.47,male
DS10_00006946,scaffold10:1764826-1766244,0.37,148.68,male
DS10_00006947,scaffold10:1766471-1766795,563.60,0.77,female
DS10_00006948,scaffold10:1767674-1770394,0.39,70.98,male
DS10_00006949,scaffold10:1771336-1774800,3.60,0.25,female
DS10_00006952,scaffold10:1781046-1785372,5.23,0.70,female
DS10_00006967,scaffold10:2086843-2087542,0.00,34.08,male
DS10_00006974,scaffold10:2156844-2167311,0.09,20.59,male
DS10_00006975,scaffold10:2167425-2168372,22.25,0.12,female
DS10_00006976,scaffold10:2175729-2181693,13.10,0.73,female
DS10_00006978,scaffold10:2202081-2202669,0.00,105.05,male
DS10_00006981,scaffold10:2252184-2253324,0.00,25.47,male
DS10_00006984,scaffold10:2265180-2265710,472.55,0.00,female
DS10_00006992,scaffold10:2314453-2315167,0.20,4.65,male
DS10_00006993,scaffold10:2356761-2361432,0.05,50.15,male
DS10_00006994,scaffold10:2363333-2364212,0.00,47.36,male
DS10_00006995,scaffold10:2377555-2382719,0.02,4.94,male
DS10_00006997,scaffold10:2411128-2412124,0.00,24.56,male
DS10_00006998,scaffold10:2457284-2459345,0.00,19.29,male
DS10_00006999,scaffold10:2472252-2472858,0.00,86.50,male
DS10_00007014,scaffold10:2790155-2791340,0.00,13.07,male
DS10_00007017,scaffold10:2808812-2815061,8.95,0.03,female
DS10_00007038,scaffold10:2902159-2905893,0.00,14.02,male
DS10_00007083,scaffold9:798124-800113,0.19,10.92,male
DS10_00007087,scaffold9:949904-976416,1.28,12.00,male
DS10_00007146,scaffold9:2329358-2339823,0.03,6.99,male
DS10_00007159,scaffold12:203463-211816,4.28,0.54,female
DS10_00007176,scaffold12:287584-291150,0.00,38.30,male
DS10_00007179,scaffold12:294676-295998,0.57,37.23,male
DS10_00007207,scaffold12:501124-502015,0.00,21.29,male
DS10_00007251,scaffold12:939057-941884,7.63,34.78,male
DS10_00007253,scaffold12:947233-949264,0.00,103.10,male
DS10_00007258,scaffold12:1033069-1033842,0.00,200.76,male
DS10_00007261,scaffold12:1049219-1052543,1.19,7.33,male
DS10_00007263,scaffold12:1063018-1067310,0.00,8.77,male
DS10_00007278,scaffold12:1203302-1211004,0.00,4.21,male
DS10_00007279,scaffold12:1213473-1215603,0.00,15.35,male
DS10_00007298,scaffold13:300371-305834,17.84,0.04,female
DS10_00007346,scaffold13:808686-811463,0.14,15.28,male
DS10_00007350,scaffold13:834369-835128,0.13,18.95,male
DS10_00007351,scaffold13:835186-840669,0.06,2.79,male
DS10_00007352,scaffold13:842257-844629,0.08,5.80,male
DS10_00007369,scaffold21:126089-135509,0.34,3.01,male
DS10_00007372,scaffold21:264365-265874,0.00,42.55,male
DS10_00007380,scaffold21:366987-373020,0.06,16.06,male
DS10_00007397,scaffold21:653267-656496,0.02,33.96,male
DS10_00007417,scaffold21:766202-767462,0.72,72.09,male
DS10_00007424,scaffold21:1052080-1053100,0.00,18.99,male
DS10_00007432,scaffold39:137777-151585,0.03,94.88,male
DS10_00007454,scaffold39:782650-783434,0.54,56.76,male
DS10_00007468,scaffold14:187579-190606,0.00,45.07,male
DS10_00007476,scaffold14:438787-446137,81.69,0.02,female
DS10_00007480,scaffold14:475635-477550,46.40,2.15,female
DS10_00007494,scaffold14:657059-657968,0.00,39.58,male
DS10_00007520,scaffold27:38241-43694,16.91,1.93,female
DS10_00007530,scaffold27:281243-282310,0.00,21.62,male
DS10_00007540,scaffold27:503128-505114,6.27,30.01,male
