Gene	Taxon	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo
3966	DB10_00010872	Dbia	0.1071	0.5952	0.0735	0.4309	0.274	0.489	0.669	13.96875	0.845	0.619	181	196	0.118367	0.127551
3967	DB10_00010873	Dbia	0.1818	0.5844	0.1959	0.3333	0.292	0.371	0.596	19.015625	0.697	0.584	109	113	-0.969912	0.044248
3968	DB10_00010875	Dbia	0.2092	0.4289	0.1867	0.4101	0.225	0.274	0.522	29.203125	0.673	0.569	908	923	-0.421669	0.048754
3969	DB10_00010887	Dbia	0.1269	0.523	0.0873	0.5295	0.305	0.503	0.679	11.453125	0.824	0.594	858	879	0.024118	0.061433
3970	DB10_00010888	Dbia	0.2058	0.4102	0.1962	0.3534	0.21	0.189	0.449	28.046875	0.654	0.649	735	815	-0.690184	0.022086
3971	DB10_00010889	Dbia	0.214	0.4719	0.1693	0.4618	0.274	0.322	0.57	28.21875	0.699	0.521	2009	2094	-0.172159	0.081184
3972	DB10_00010892	Dbia	0.0619	0.6598	0.061	0.5097	0.33	0.778	0.86	NA	0.903	0.609	258	262	-0.709924	0.080153
3973	DB10_00010893	Dbia	0.1566	0.504	0.1486	0.4561	0.275	0.417	0.622	18.15625	0.753	0.603	616	636	-0.396855	0.070755
3974	DB10_00010894	Dbia	0.1854	0.5	0.1426	0.4504	0.275	0.364	0.596	22.71875	0.739	0.601	1585	1626	-0.568327	0.060271
3975	DB10_00010895	Dbia	0.1469	0.5455	0.089	0.5373	0.265	0.382	0.609	22.171875	0.815	0.584	184	197	-0.429442	0.086294
3976	DB10_00010896	Dbia	0.0936	0.5813	0.0645	0.552	0.308	0.52	0.692	8.5	0.874	0.615	792	825	-0.427757	0.070303
3977	DB10_00010897	Dbia	0.227	0.4162	0.237	0.3662	0.244	0.187	0.472	36.34375	0.622	0.558	1633	1693	-0.665564	0.041347
3978	DB10_00010903	Dbia	0.1761	0.5114	0.0841	0.4965	0.261	0.421	0.628	17.328125	0.786	0.599	411	424	-0.30967	0.082547
3979	DB10_00010905	Dbia	0.0763	0.7176	0.0611	0.4	0.308	0.717	0.819	1.265625	0.887	0.614	160	172	0.059884	0.104651
3980	DB10_00010906	Dbia	0.0644	0.6438	0.0474	0.5463	0.341	0.662	0.786	2.328125	0.912	0.647	294	302	-0.303311	0.059603
3981	DB10_00010911	Dbia	0.1759	0.4876	0.1113	0.4439	0.281	0.404	0.609	17.125	0.758	0.603	598	628	0.123248	0.093949
3982	DB10_00010912	Dbia	0.1278	0.5301	0.1476	0.4337	0.226	0.389	0.605	23.015625	0.777	0.561	291	311	0.414469	0.154341
3983	DB10_00010913	Dbia	0.1856	0.4469	0.157	0.4804	0.26	0.322	0.562	24.359375	0.723	0.573	2698	2789	-0.300287	0.077447
3984	DB10_00010914	Dbia	0.2283	0.4496	0.1579	0.4162	0.269	0.354	0.586	27.34375	0.683	0.576	681	698	-0.208596	0.070201
3985	DB10_00010915	Dbia	0.2052	0.4698	0.1708	0.4893	0.266	0.338	0.588	26.546875	0.713	0.544	1415	1472	-0.779823	0.069973
3986	DB10_00010918	Dbia	0.2347	0.4133	0.1779	0.4394	0.204	0.245	0.514	31.328125	0.669	0.553	251	258	-0.499613	0.046512
3987	DB10_00010920	Dbia	0.1851	0.4237	0.178	0.4026	0.22	0.245	0.492	28.265625	0.691	0.604	1901	1953	-0.546595	0.049667
3988	DB10_00010922	Dbia	0.1405	0.5199	0.1285	0.4602	0.284	0.428	0.627	16.59375	0.78	0.582	555	571	-0.251664	0.061296
3989	DB10_00010924	Dbia	0.4251	0.2551	0.4457	0.2079	0.207	-0.185	0.265	36.296875	0.342	0.397	1205	1233	-0.489781	0.090024
3990	DB10_00010925	Dbia	0.4131	0.2347	0.4807	0.1867	0.181	-0.26	0.223	41.578125	0.316	0.399	256	263	-0.742966	0.098859
3991	DB10_00010926	Dbia	0.4302	0.2212	0.4	0.2005	0.187	-0.14	0.26	36.234375	0.329	0.415	1245	1271	-0.581432	0.076318
3992	DB10_00010928	Dbia	0.4189	0.2703	0.3429	0.3043	0.297	-0.048	0.354	31.171875	0.427	0.452	96	98	-0.521429	0.071429
3993	DB10_00010929	Dbia	0.4928	0.2536	0.4064	0.1912	0.233	-0.191	0.266	38.71875	0.326	0.37	334	345	-0.691594	0.107246
3994	DB10_00010938	Dbia	0.4299	0.2133	0.4114	0.1946	0.185	-0.175	0.233	34.875	0.319	0.42	1368	1407	-0.593106	0.055437
3995	DB10_00010942	Dbia	0.2859	0.3319	0.3186	0.307	0.239	0.061	0.388	40.984375	0.506	0.492	2026	2081	-0.575348	0.054781
3996	DB10_00010951	Dbia	0.2292	0.25	0.3091	0.42	0.15	0.086	0.393	35.734375	0.541	0.46	61	66	0.474242	0.045455
3997	DB10_00010952	Dbia	0.3976	0.2892	0.1948	0.1781	0.214	0.073	0.341	34.859375	0.435	0.585	85	86	0.934884	0.023256
3998	DB10_00010957	Dbia	0.3203	0.3594	0.1966	0.2973	0.234	0.107	0.392	30	0.552	0.477	143	146	-0.020548	0.061644
3999	DB10_00010964	Dbia	0.1056	0.5211	0.0616	0.5625	0.262	0.539	0.704	6.296875	0.866	0.663	179	187	-0.780214	0.042781
4000	DB10_00010967	Dbia	0.1933	0.4734	0.1768	0.3879	0.247	0.275	0.529	30.1875	0.696	0.573	826	860	-0.138256	0.088372
4001	DB10_00010973	Dbia	0.2136	0.55	0.125	0.4167	0.294	0.386	0.609	17.78125	0.738	0.612	279	292	-1.017808	0.054795
4002	DB10_00010975	Dbia	0.2054	0.4425	0.164	0.4296	0.275	0.323	0.558	22.265625	0.699	0.611	1818	1859	-0.664389	0.032813
4003	DB10_00010977	Dbia	0.2487	0.3793	0.2174	0.3646	0.23	0.189	0.466	35.703125	0.607	0.546	1141	1182	-0.348816	0.043147
4004	DB10_00010979	Dbia	0.15	0.55	0.1481	0.463	0.325	0.44	0.653	17.4375	0.773	0.603	75	79	-0.868354	0.063291
4005	DB10_00010981	Dbia	0.1724	0.5411	0.15	0.3759	0.269	0.401	0.61	20.953125	0.735	0.554	426	443	0.156433	0.124154
4006	DB10_00010982	Dbia	0.2765	0.4286	0.1642	0.4104	0.257	0.254	0.525	33	0.648	0.544	531	558	-0.486918	0.086022
4007	DB10_00010983	Dbia	0.2449	0.4495	0.2133	0.392	0.241	0.242	0.517	34.984375	0.641	0.521	476	502	-0.443028	0.121514
4008	DB10_00010984	Dbia	0.139	0.5119	0.0966	0.5646	0.332	0.547	0.713	10.25	0.815	0.573	373	387	-0.195349	0.069767
4009	DB10_00010986	Dbia	0.1353	0.5038	0.2049	0.4107	0.218	0.365	0.59	29.25	0.724	0.59	156	161	-0.542236	0.086957
4010	DB10_00010988	Dbia	0.4038	0.1538	0.5564	0.1066	0.157	-0.246	0.178	23.265625	0.213	0.392	174	181	0.167956	0.104972
4011	DB10_00010990	Dbia	0.4294	0.1963	0.4167	0.2121	0.194	-0.176	0.242	45.9375	0.316	0.394	190	203	0.236946	0.133005
4012	DB10_00010992	Dbia	0.4771	0.1862	0.4685	0.188	0.195	-0.264	0.21	31.9375	0.272	0.331	856	883	-0.230691	0.101925
4013	DB10_00010998	Dbia	0.2835	0.3839	0.2716	0.3709	0.261	0.139	0.465	37.671875	0.568	0.498	639	662	-0.49426	0.107251
4014	DB10_00011004	Dbia	0.4581	0.1613	0.518	0.188	0.14	-0.318	0.189	19.5625	0.247	0.316	190	197	-0.28934	0.126904
4015	DB10_00011016	Dbia	0.1571	0.4764	0.1883	0.4006	0.216	0.323	0.552	24	0.714	0.606	458	469	-0.609382	0.049041
4016	DB10_00011019	Dbia	0.2034	0.4207	0.1993	0.4103	0.211	0.229	0.49	35.640625	0.667	0.552	351	358	-0.265922	0.036313
4017	DB10_00011025	Dbia	0.193	0.5121	0.1686	0.4325	0.228	0.34	0.585	29.65625	0.717	0.571	463	479	-0.547808	0.070981
4018	DB10_00011026	Dbia	0.1609	0.5348	0.1495	0.4774	0.256	0.402	0.627	20.796875	0.76	0.557	287	295	-0.502034	0.084746
4019	DB10_00011027	Dbia	0.2772	0.363	0.2825	0.3373	0.246	0.117	0.425	40.140625	0.551	0.539	5358	5553	-0.814497	0.039258
4020	DB10_00011028	Dbia	0.2278	0.3829	0.2478	0.4414	0.211	0.187	0.488	41.421875	0.626	0.501	422	440	-0.657273	0.05
4021	DB10_00011030	Dbia	0.3147	0.3007	0.2991	0.3196	0.215	0.033	0.365	42.046875	0.498	0.525	5461	5581	-0.876259	0.025443
4022	DB10_00011031	Dbia	0.2289	0.4053	0.2057	0.4107	0.222	0.219	0.494	35.96875	0.646	0.542	2983	3063	-0.335031	0.067254
4023	DB10_00011033	Dbia	0.1292	0.5225	0.1503	0.5089	0.259	0.415	0.636	23.53125	0.785	0.618	228	239	-1.067782	0.075314
4024	DB10_00011038	Dbia	0.1939	0.483	0.1744	0.4758	0.325	0.338	0.586	30.375	0.718	0.585	362	377	-0.488064	0.071618
4025	DB10_00011040	Dbia	0.2298	0.4113	0.2791	0.3168	0.177	0.153	0.452	43.84375	0.587	0.538	283	290	-0.453104	0.044828
4026	DB10_00011043	Dbia	0.1815	0.4431	0.1781	0.3784	0.18	0.21	0.469	34.21875	0.694	0.593	657	677	-0.636189	0.05613
4027	DB10_00011044	Dbia	0.2391	0.2826	0.2059	0.4839	0.198	0.152	0.413	20.15625	0.609	0.5	46	48	1.239583	0.125
4028	DB10_00011046	Dbia	0.2786	0.3632	0.2273	0.4203	0.237	0.154	0.461	37.15625	0.597	0.508	501	523	-0.359465	0.082218
4029	DB10_00011048	Dbia	0.446	0.2073	0.493	0.1829	0.173	-0.272	0.205	31.625	0.282	0.329	702	726	-0.118457	0.104683
4030	DB10_00011055	Dbia	0.4177	0.1861	0.4786	0.2332	0.169	-0.243	0.212	35.203125	0.305	0.368	567	581	-0.27642	0.108434
4031	DB10_00011057	Dbia	0.2928	0.397	0.2793	0.3465	0.289	0.149	0.469	33.40625	0.559	0.486	537	540	-0.613148	0.057407
4032	DB10_00011065	Dbia	0.2587	0.3881	0.2351	0.4265	0.247	0.199	0.493	34.8125	0.618	0.558	811	840	-0.965714	0.058333
4033	DB10_00011066	Dbia	0.2551	0.3743	0.1983	0.4315	0.226	0.203	0.484	33.703125	0.632	0.535	1030	1055	-0.298768	0.063507
4034	DB10_00011067	Dbia	0.2092	0.4346	0.1864	0.4	0.243	0.265	0.514	26.796875	0.673	0.57	934	963	-0.503635	0.058152
4035	DB10_00011069	Dbia	0.1271	0.5464	0.1314	0.4766	0.288	0.453	0.653	17.546875	0.794	0.598	354	370	-0.511622	0.078378
4036	DB10_00011070	Dbia	0.1903	0.4534	0.2129	0.4024	0.296	0.393	0.604	20.9375	0.674	0.579	316	321	-0.482243	0.071651
4037	DB10_00011071	Dbia	0.1351	0.5195	0.127	0.4618	0.283	0.414	0.622	14.3125	0.786	0.624	397	411	-0.59927	0.092457
4038	DB10_00011072	Dbia	0.1765	0.6723	0.0859	0.3361	0.291	0.668	0.791	5.453125	0.791	0.626	153	157	-0.796178	0.070064
4039	DB10_00011073	Dbia	0.2687	0.403	0.1993	0.4076	0.258	0.229	0.505	33.765625	0.624	0.544	1126	1159	-0.556169	0.068162
4040	DB10_00011074	Dbia	0.1935	0.3687	0.2933	0.4293	0.218	0.184	0.485	29.75	0.616	0.544	268	278	-0.677698	0.093525
4041	DB10_00011097	Dbia	0.4427	0.176	0.4479	0.1981	0.166	-0.216	0.209	36.25	0.286	0.388	455	464	-0.459914	0.075431
4042	DB10_00011101	Dbia	0.3829	0.2563	0.3682	0.2287	0.212	-0.093	0.292	42.015625	0.385	0.453	1111	1132	-0.280654	0.067138
4043	DB10_00011103	Dbia	0.3298	0.2563	0.3287	0.3028	0.21	-0.022	0.329	41.53125	0.453	0.49	928	947	-0.542661	0.027455
4044	DB10_00011104	Dbia	0.2318	0.4048	0.2407	0.3381	0.24	0.158	0.44	40.375	0.606	0.554	350	362	-0.575414	0.027624
4045	DB10_00011105	Dbia	0.3808	0.2607	0.3842	0.2528	0.205	-0.102	0.297	40.953125	0.393	0.429	2011	2068	-0.334429	0.083172
4046	DB10_00011106	Dbia	0.3069	0.3861	0.2747	0.3253	0.183	0.143	0.459	45.390625	0.541	0.484	244	253	-0.490119	0.098814
4047	DB10_00011108	Dbia	0.2686	0.3816	0.2606	0.3408	0.233	0.168	0.465	40.40625	0.572	0.536	671	698	-0.265902	0.097421
4048	DB10_00011109	Dbia	0.4282	0.2167	0.4472	0.2006	0.187	-0.196	0.239	39.578125	0.313	0.394	473	492	-0.288821	0.087398
4049	DB10_00011116	Dbia	0.385	0.3717	0.2342	0.2664	0.278	0.118	0.442	34.53125	0.498	0.51	434	461	-0.501518	0.088937
4050	DB10_00011117	Dbia	0.298	0.3609	0.2552	0.369	0.259	0.113	0.434	38.609375	0.56	0.515	373	392	-0.491071	0.104592
4051	DB10_00011123	Dbia	0.28	0.39	0.2079	0.3118	0.259	0.175	0.444	42.75	0.581	0.497	117	120	0.158333	0.058333
4052	DB10_00011126	Dbia	0.4074	0.1667	0.5357	0.2041	0.224	-0.321	0.169	7.015625	0.268	0.333	71	75	-0.506667	0.106667
4053	DB10_00011127	Dbia	0.4308	0.1385	0.5397	0.1552	0.166	-0.273	0.175	14.890625	0.225	0.321	80	82	-0.295122	0.073171
4054	DB10_00011128	Dbia	0.428	0.1818	0.5255	0.1535	0.167	-0.245	0.209	28.3125	0.252	0.356	330	340	-0.210588	0.111765
4055	DB10_00011133	Dbia	0.249	0.4202	0.2	0.3689	0.209	0.169	0.454	38.71875	0.628	0.53	293	303	-0.528713	0.066007
4056	DB10_00011143	Dbia	0.2729	0.4133	0.1588	0.4076	0.237	0.239	0.511	33.921875	0.645	0.541	595	619	-0.381099	0.096931
4057	DB10_00011148	Dbia	0.4459	0.1991	0.424	0.1805	0.189	-0.216	0.191	33.03125	0.299	0.385	278	284	-0.653873	0.056338
4058	DB10_00011157	Dbia	0.2198	0.4451	0.2139	0.3604	0.242	0.264	0.526	32.109375	0.644	0.553	424	443	-0.071558	0.085779
4059	DB10_00011164	Dbia	0.2838	0.3719	0.2278	0.3826	0.255	0.147	0.45	41.453125	0.588	0.544	753	769	-0.642393	0.049415
4060	DB10_00011166	Dbia	0.2964	0.3648	0.3261	0.3254	0.257	0.091	0.431	44	0.515	0.499	404	414	-0.53285	0.045894
4061	DB10_00011168	Dbia	0.2711	0.36	0.292	0.3349	0.242	0.031	0.375	33.875	0.546	0.518	280	285	-0.897544	0.031579
4062	DB10_00011169	Dbia	0.2056	0.5047	0.2614	0.3038	0.26	0.263	0.528	25.90625	0.634	0.517	123	127	-0.143307	0.110236
4063	DB10_00011193	Dbia	0.4359	0.2418	0.4531	0.177	0.179	-0.236	0.222	38	0.309	0.336	333	343	-0.014869	0.122449
4064	DB10_00011202	Dbia	0.2825	0.3725	0.2516	0.3671	0.255	0.138	0.448	41.5625	0.574	0.528	1755	1822	-0.564105	0.063666
4065	DB10_00011219	Dbia	0.4343	0.1768	0.4651	0.2323	0.192	-0.189	0.236	36.703125	0.3	0.371	237	246	-0.21748	0.130081
4066	DB10_00011228	Dbia	0.4904	0.3365	0.2212	0.2268	0.335	0.072	0.42	29.3125	0.435	0.49	131	136	-0.724265	0.125
4067	DB10_00011244	Dbia	0.3743	0.3352	0.2857	0.3431	0.236	0.044	0.408	46.890625	0.491	0.445	218	223	-0.319282	0.107623
4068	DB10_00011245	Dbia	0.2596	0.417	0.2028	0.3454	0.242	0.215	0.481	37.453125	0.611	0.531	270	280	0.159643	0.117857
4069	DB10_00011263	Dbia	0.476	0.2123	0.3867	0.213	0.242	-0.227	0.241	39.421875	0.318	0.378	349	355	-0.112958	0.098592
4070	DB10_00011264	Dbia	0.4568	0.2469	0.25	0.2838	0.236	0.042	0.388	24.875	0.418	0.48	196	204	-1.053922	0.098039
4071	DB10_00011270	Dbia	0.4401	0.1918	0.4556	0.1903	0.189	-0.228	0.223	33.703125	0.291	0.393	695	715	-0.247832	0.07972
4072	DB10_00011275	Dbia	0.3193	0.354	0.2839	0.3462	0.242	0.085	0.423	46.171875	0.527	0.483	657	686	-0.490525	0.107872
4073	DB10_00011276	Dbia	0.313	0.2783	0.3839	0.3426	0.204	-0.142	0.284	45.53125	0.466	0.494	148	149	-1.342953	0.040268
4074	DB10_00011280	Dbia	0.3512	0.3124	0.3412	0.2642	0.225	-0.012	0.352	44.6875	0.448	0.474	1188	1243	-0.469831	0.116653
4075	DB10_00011283	Dbia	0.3898	0.2768	0.4141	0.2595	0.225	-0.11	0.31	44.265625	0.391	0.412	248	257	-1.020623	0.070039
4076	DB10_00011290	Dbia	0.4848	0.2121	0.4324	0.2211	0.201	-0.228	0.236	45.296875	0.304	0.327	161	168	-0.125	0.136905
4077	DB10_00011294	Dbia	0.4471	0.1941	0.4375	0.2181	0.173	-0.212	0.232	32.671875	0.31	0.407	423	431	-1.039443	0.071926
4078	DB10_00011297	Dbia	0.4046	0.2939	0.309	0.2973	0.208	-0.076	0.324	41.703125	0.445	0.431	321	341	-0.546041	0.129032
4079	DB10_00011304	Dbia	0.3816	0.3421	0.2857	0.2542	0.187	0.045	0.398	44.953125	0.466	0.456	88	95	-0.231579	0.168421
4080	DB10_00011306	Dbia	0.4421	0.2842	0.4691	0.1571	0.217	-0.138	0.297	37.390625	0.322	0.381	118	120	-1.145833	0.1
4081	DB10_00011313	Dbia	0.2611	0.3444	0.2632	0.3972	0.213	0.039	0.39	40.28125	0.576	0.512	205	213	-0.23615	0.089202
4082	DB10_00011314	Dbia	0.3029	0.2457	0.3625	0.3087	0.167	-0.033	0.31	46.859375	0.445	0.475	200	204	0.003922	0.093137
4083	DB10_00011316	Dbia	0.444	0.1947	0.4251	0.205	0.181	-0.206	0.224	33.9375	0.304	0.392	835	855	-0.035789	0.043275
4084	DB10_00011317	Dbia	0.38	0.22	0.4576	0.2545	0.245	-0.124	0.31	47.09375	0.352	0.393	71	73	-0.660274	0.054795
4085	DB10_00011336	Dbia	0.4638	0.1997	0.3743	0.222	0.198	-0.196	0.233	37.890625	0.32	0.391	738	762	0.043701	0.089239
4086	DB10_00011338	Dbia	0.3529	0.261	0.3527	0.3347	0.212	-0.067	0.332	47.09375	0.45	0.457	340	348	-0.301724	0.100575
4087	DB10_00011341	Dbia	0.4293	0.2037	0.4397	0.2535	0.18	-0.193	0.252	37.578125	0.333	0.369	986	1018	-0.30668	0.115914
4088	DB10_00011345	Dbia	0.3055	0.3948	0.2233	0.3716	0.279	0.194	0.493	31.953125	0.583	0.531	424	446	-0.497982	0.073991
4089	DB10_00011347	Dbia	0.4211	0.2368	0.4412	0.2353	0.216	-0.217	0.25	24.40625	0.354	0.438	48	51	-1.511765	0.156863
4090	DB10_00011348	Dbia	0.3009	0.3451	0.1982	0.4	0.227	0.073	0.396	43.609375	0.593	0.541	273	281	-0.453737	0.074733
4091	DB10_00011355	Dbia	0.2964	0.3767	0.237	0.3764	0.244	0.113	0.431	39.78125	0.576	0.518	635	653	-0.555436	0.07657
4092	DB10_00011368	Dbia	0.325	0.3667	0.2823	0.3304	0.258	0.177	0.497	37.953125	0.523	0.491	155	159	-0.586164	0.081761
4093	DB10_00011369	Dbia	0.3712	0.25	0.496	0.2417	0.211	-0.212	0.254	45.28125	0.358	0.395	173	179	-1.205587	0.078212
4094	DB10_00011372	Dbia	0.3478	0.2542	0.4064	0.2625	0.204	-0.101	0.292	42.90625	0.397	0.428	363	386	-0.174093	0.108808
4095	DB10_00011376	Dbia	0.4821	0.1518	0.514	0.1327	0.221	-0.324	0.165	32.46875	0.216	0.373	139	144	-0.300694	0.097222
4096	DB10_00011379	Dbia	0.3639	0.2754	0.4706	0.2273	0.226	-0.177	0.279	45.46875	0.368	0.395	391	404	-0.564356	0.10396
4097	DB10_00011383	Dbia	0.4081	0.2606	0.4106	0.2338	0.228	-0.159	0.27	42.375	0.372	0.429	618	636	-0.750943	0.059748
4098	DB10_00011390	Dbia	0.3585	0.3295	0.3071	0.3056	0.226	0.023	0.381	46.09375	0.476	0.435	635	655	-0.143969	0.085496
4099	DB10_00011393	Dbia	0.3966	0.2363	0.4185	0.2222	0.211	-0.134	0.271	40.640625	0.351	0.413	291	301	-0.35515	0.076412
4100	DB10_00011395	Dbia	0.1732	0.5039	0.2109	0.4174	0.27	0.329	0.584	34.203125	0.696	0.524	161	168	-0.129167	0.077381
4101	DB10_00011396	Dbia	0.2854	0.399	0.2515	0.3447	0.236	0.126	0.442	40.484375	0.575	0.511	468	489	-0.403477	0.09816
4102	DB10_00011397	Dbia	0.2014	0.4167	0.2677	0.3509	0.202	0.165	0.448	45.609375	0.613	0.535	163	167	-0.216767	0.101796
4103	DB10_00011402	Dbia	0.4536	0.2371	0.4324	0.2157	0.222	-0.145	0.277	42.203125	0.328	0.398	137	140	-0.603571	0.042857
4104	DB10_00011406	Dbia	0.21	0.48	0.2812	0.2921	0.252	0.159	0.467	24.90625	0.607	0.534	122	126	-0.170635	0.079365
4105	DB10_00011409	Dbia	0.3548	0.3188	0.3315	0.3082	0.246	0.028	0.392	44.078125	0.469	0.457	482	500	-0.3722	0.088
4106	DB10_00011413	Dbia	0.2581	0.3792	0.2021	0.3961	0.231	0.22	0.492	36.171875	0.619	0.545	2017	2095	-0.143437	0.072554
4107	DB10_00011422	Dbia	0.4394	0.1818	0.3966	0.1509	0.161	-0.2	0.194	12.546875	0.278	0.408	72	76	0.693421	0.105263
4108	DB10_00011424	Dbia	0.4012	0.2622	0.3852	0.2795	0.201	-0.099	0.313	42.390625	0.396	0.383	614	632	-0.170728	0.117089
4109	DB10_00011427	Dbia	0.3463	0.3301	0.3448	0.2594	0.223	-0.042	0.342	46.8125	0.451	0.471	395	411	-0.526764	0.075426
4110	DB10_00011430	Dbia	0.3508	0.2911	0.355	0.261	0.198	-0.061	0.317	43.59375	0.433	0.481	660	677	-0.690842	0.084195
4111	DB10_00011438	Dbia	0.4306	0.1528	0.5256	0.2273	0.13	-0.244	0.224	26.84375	0.265	0.324	98	102	-0.462745	0.029412
4112	DB10_00011456	Dbia	0.418	0.3361	0.1983	0.3502	0.27	0.143	0.471	37.921875	0.516	0.483	306	310	-0.591613	0.1
4113	DB10_00011466	Dbia	0.3897	0.216	0.4829	0.1383	0.168	-0.21	0.224	34.859375	0.283	0.423	254	261	-0.448659	0.049808
4114	DB10_00011468	Dbia	0.3664	0.2824	0.3136	0.2778	0.191	-0.043	0.329	47.09375	0.441	0.453	152	162	0.224074	0.117284
4115	DB10_00011474	Dbia	0.2536	0.3623	0.3333	0.3145	0.247	0.126	0.438	38.375	0.527	0.516	169	177	-0.229943	0.101695
4116	DB10_00011477	Dbia	0.2656	0.4583	0.2588	0.2628	0.241	0.158	0.455	38.875	0.576	0.51	224	232	-0.594397	0.086207
4117	DB10_00011551	Dbia	0.1199	0.603	0.0383	0.4204	0.368	0.616	0.748	NA	0.863	0.68	306	310	0.386129	0.045161
4118	DS10_00000003	Dsuz	0.2325	0.417	0.1918	0.423	0.251	0.31	0.557	31.75	0.661	0.578	366	375	-0.8448	0.032
4119	DS10_00000005	Dsuz	0.2441	0.4259	0.2039	0.4134	0.278	0.223	0.503	31.296875	0.649	0.567	1031	1064	-0.856203	0.043233
4120	DS10_00000007	Dsuz	0.2006	0.4745	0.1506	0.489	0.273	0.386	0.616	23.96875	0.729	0.561	417	433	-0.869515	0.071594
4121	DS10_00000008	Dsuz	0.2584	0.4306	0.2344	0.3799	0.246	0.266	0.533	24.6875	0.615	0.508	257	269	-0.44461	0.089219
4122	DS10_00000009	Dsuz	0.2261	0.4023	0.1616	0.4369	0.214	0.254	0.502	31.015625	0.675	0.551	785	802	-0.209477	0.047382
4123	DS10_00000013	Dsuz	0.2044	0.5401	0.1556	0.4574	0.284	0.394	0.626	12.484375	0.731	0.533	182	189	-0.275132	0.079365
4124	DS10_00000014	Dsuz	0.2581	0.439	0.1471	0.4405	0.257	0.257	0.527	30.8125	0.677	0.557	592	613	-0.85155	0.075041
4125	DS10_00000017	Dsuz	0.1667	0.3958	0.0792	0.5714	0.265	0.375	0.593	15.65625	0.797	0.634	118	124	-0.584677	0.072581
4126	DS10_00000019	Dsuz	0.2803	0.519	0.1407	0.3786	0.299	0.363	0.606	22.734375	0.672	0.556	360	373	-0.754155	0.101877
4127	DS10_00000020	Dsuz	0.2629	0.442	0.1891	0.3656	0.288	0.284	0.542	26.21875	0.634	0.529	1186	1199	-0.211259	0.083403
4128	DS10_00000021	Dsuz	0.2969	0.4174	0.1839	0.4	0.238	0.204	0.498	34.328125	0.618	0.517	422	431	-0.833411	0.076566
4129	DS10_00000028	Dsuz	0.2088	0.5579	0.0606	0.4354	0.311	0.536	0.704	9.953125	0.778	0.598	787	821	-0.180999	0.075518
4130	DS10_00000030	Dsuz	0.2109	0.4453	0.1983	0.3632	0.2	0.281	0.535	34.953125	0.657	0.576	297	302	-0.12351	0.049669
4131	DS10_00000031	Dsuz	0.2482	0.4464	0.202	0.3998	0.239	0.225	0.505	30.796875	0.644	0.524	1215	1255	-0.545259	0.086056
4132	DS10_00000034	Dsuz	0.2319	0.3866	0.1995	0.4273	0.223	0.221	0.494	31.671875	0.644	0.556	925	960	-0.362604	0.078125
4133	DS10_00000036	Dsuz	0.1719	0.4642	0.1832	0.4983	0.28	0.346	0.587	20.1875	0.723	0.543	429	443	-0.43228	0.083521
4134	DS10_00000042	Dsuz	0.2905	0.3326	0.2536	0.3688	0.178	0.129	0.434	37.84375	0.553	0.51	528	540	-0.25463	0.096296
4135	DS10_00000043	Dsuz	0.3034	0.4301	0.1783	0.2524	0.208	0.138	0.422	29.921875	0.585	0.59	412	420	-1.207857	0.114286
4136	DS10_00000044	Dsuz	0.1832	0.5	0.1025	0.4638	0.24	0.426	0.64	21.234375	0.762	0.578	450	466	-0.086481	0.113734
4137	DS10_00000045	Dsuz	0.2229	0.4066	0.1958	0.4389	0.22	0.247	0.515	30.40625	0.665	0.574	3741	3815	-1.031455	0.049541
4138	DS10_00000048	Dsuz	0.284	0.4259	0.2465	0.413	0.316	0.208	0.517	45.34375	0.609	0.519	207	216	-0.743056	0.087963
4139	DS10_00000050	Dsuz	0.2022	0.5346	0.147	0.425	0.286	0.407	0.63	19.78125	0.728	0.58	1351	1375	-0.506909	0.085818
4140	DS10_00000052	Dsuz	0.3117	0.3766	0.2308	0.4032	0.253	0.191	0.495	35.671875	0.581	0.509	93	97	-0.542268	0.134021
4141	DS10_00000053	Dsuz	0.2078	0.4246	0.1911	0.3962	0.218	0.266	0.515	30.015625	0.666	0.564	1652	1710	-0.161813	0.078947
4142	DS10_00000054	Dsuz	0.2308	0.4396	0.1392	0.4487	0.206	0.259	0.533	42.546875	0.701	0.554	107	112	-0.263393	0.080357
4143	DS10_00000057	Dsuz	0.3447	0.2833	0.3242	0.323	0.177	0	0.353	37.609375	0.459	0.405	340	361	0.362327	0.144044
4144	DS10_00000064	Dsuz	0.2302	0.4757	0.1954	0.3954	0.268	0.286	0.546	27.671875	0.667	0.555	969	995	-0.90794	0.051256
4145	DS10_00000068	Dsuz	0.2202	0.4641	0.1661	0.4058	0.264	0.338	0.575	22.84375	0.685	0.559	1463	1525	-0.423607	0.088525
4146	DS10_00000070	Dsuz	0.2896	0.4153	0.1667	0.45	0.267	0.255	0.528	27.59375	0.641	0.492	231	235	-0.273191	0.093617
4147	DS10_00000075	Dsuz	0.228	0.4203	0.1963	0.4495	0.289	0.239	0.512	27.171875	0.666	0.588	947	975	-0.923897	0.025641
4148	DS10_00000076	Dsuz	0.2222	0.4461	0.1768	0.4131	0.233	0.331	0.568	22.796875	0.675	0.551	716	739	-0.308796	0.060893
